Descricao,Valor
RESSECCAO SIMPLES DE TUMOR OSSEO / DE PARTES MOLES,"368,03"
RESSECCAO TOTAL DE LABIO E RECONSTRUCAO COM RETALHO MIOCUTANEO EM ONCOLOGIA,"1.703,73"
RESSONANCIA MAGNETICA DE ABDOMEN SUPERIOR,"268,75"
RESSONANCIA MAGNETICA DE ARTICULACAO TEMPORO-MANDIBULAR (BILATERAL),"268,75"
RESSONANCIA MAGNETICA DE BACIA / PELVE / ABDOMEN INFERIOR,"268,75"
RESSONANCIA MAGNETICA DE COLUNA CERVICAL/PESCOCO,"268,75"
RESSONANCIA MAGNETICA DE COLUNA LOMBO-SACRA,"268,75"
RESSONANCIA MAGNETICA DE COLUNA TORACICA,"268,75"
RESSONANCIA MAGNETICA DE CORACAO / AORTA C/ CINE,"361,25"
RESSONANCIA MAGNETICA DE CRANIO,"268,75"
RESSONANCIA MAGNETICA DE MEMBRO INFERIOR (UNILATERAL),"268,75"
RESSONANCIA MAGNETICA DE MEMBRO SUPERIOR (UNILATERAL),"268,75"
RESSONANCIA MAGNETICA DE SELA TURCICA,"268,75"
RESSONANCIA MAGNETICA DE TORAX,"268,75"
RESSONANCIA MAGNETICA DE VIAS BILIARES/COLANGIORRESSONANCIA,"268,75"
RESSUTURA DE EPISIORRAFIA POS-PARTO,"11,28"
RESSUTURA DE PAREDE ABDOMINAL (POR DEISCENCIA TOTAL / EVISCERACAO),"531,89"
RESTAURACAO DE DENTE DECIDUO ANTERIOR COM RESINA COMPOSTA.,"0,00"
RESTAURACAO DE DENTE DECIDUO POSTERIOR COM AMALGAMA,"0,00"
RESTAURACAO DE DENTE DECIDUO POSTERIOR COM IONOMERO DE VIDRO,"0,00"
RESTAURACAO DE DENTE DECIDUO POSTERIOR COM RESINA COMPOSTA,"0,00"
RESTAURACAO DE DENTE PERMANENTE ANTERIOR COM RESINA COMPOSTA,"0,00"
RESTAURACAO DE DENTE PERMANENTE POSTERIOR COM RESINA COMPOSTA,"0,00"
RESTRITOR DE CIMENTO FEMORAL/UMERAL,"28,80"
RETANGULO TIPO HARTSHILL / SIMILAR,"829,24"
RETINOGRAFIA COLORIDA BINOCULAR,"24,68"
RETINOGRAFIA FLUORESCENTE BINOCULAR,"64,00"
RETINOPEXIA C/ INTROFLEXAO ESCLERAL,"1.074,86"
RETINOPEXIA PNEUMATICA,"389,64"
RETIRADA DE CATETER DE LONGA PERMANENCIA SEMI OU TOTALMENTE IMPLANTAVEL,"20,74"
RETIRADA DE CATETER TIPO TENCKHOFF / SIMILAR DE LONGA PERMANENCIA,"400,00"
RETIRADA DE CORACAO (PARA TRANSPLANTE),"1.170,00"
RETIRADA DE CORACAO P/ PROCESSAMENTO DE VALVULA / TUBO VALVADO P/ TRANSPLANTE,"260,00"
RETIRADA DE CORPO ESTRANHO / POLIPOS DO RETO / COLO SIGMOIDE,"13,63"
RETIRADA DE CORPO ESTRANHO DA CAMARA ANTERIOR DO OLHO,"335,72"
RETIRADA DE CORPO ESTRANHO DA CAVIDADE AUDITIVA E NASAL,"0,00"
RETIRADA DE CORPO ESTRANHO DA COLUNA CERVICAL POR VIA ANTERIOR,"1.632,40"
RETIRADA DE CORPO ESTRANHO DA COLUNA CERVICAL POR VIA POSTERIOR,"964,94"
RETIRADA DE CORPO ESTRANHO DA COLUNA TORACO-LOMBO-SACRA POR VIA ANTERIOR,"1.632,40"
RETIRADA DE CORPO ESTRANHO DA COLUNA TORACO-LOMBO-SACRA POR VIA POSTERIOR,"1.883,43"
RETIRADA DE CORPO ESTRANHO DA CORNEA,"25,00"
RETIRADA DE CORPO ESTRANHO DA PAREDE TORACICA,"749,64"
RETIRADA DE CORPO ESTRANHO DE OUVIDO / FARINGE / LARINGE / NARIZ,"26,42"
RETIRADA DE CORPO ESTRANHO DE SISTEMA CARDIOVASCULAR POR TECNICAS HEMODINAMICAS,"656,72"
RETIRADA DE CORPO ESTRANHO DO ESOFAGO,"49,50"
RETIRADA DE CORPO ESTRANHO DO ESTOMAGO / DUODENO,"47,25"
RETIRADA DE CORPO ESTRANHO DO TUBO DIGESTIVO POR ENDOSCOPIA,"31,26"
RETIRADA DE CORPO ESTRANHO DOS OSSOS DA FACE,"98,10"
RETIRADA DE CORPO ESTRANHO INTRA-ARTICULAR,"139,07"
RETIRADA DE CORPO ESTRANHO INTRA-OSSEO,"140,33"
RETIRADA DE CORPO ESTRANHO SUBCUTANEO,"11,84"
RETIRADA DE DERIVACAO VENTRICULAR PARA PERITONEO / ATRIO / PLEURA / RAQUE,"808,02"
RETIRADA DE DRENO TUBULAR TORACICO,"33,97"
RETIRADA DE ENXERTO AUTOGENO DE ILIACO,"57,61"
RETIRADA DE ESPACADORES / OUTROS MATERIAIS,"151,67"
RETIRADA DE FIGADO (PARA TRANSPLANTE),"2.340,00"
RETIRADA DE FIO OU PINO INTRA-OSSEO,"28,42"
RETIRADA DE FIXADOR EXTERNO,"151,67"
RETIRADA DE GLOBO OCULAR UNI / BILATERAL (P/ TRANSPLANTE),"322,38"
RETIRADA DE LESAO POR SHAVING,"19,79"
RETIRADA DE MATERIAL DE SINTESE OSSEA / DENTARIA,"48,24"
RETIRADA DE MEIOS DE FIXACAO MAXILO-MANDIBULAR,"22,11"
RETIRADA DE PANCREAS (PARA TRANSPLANTE),"2.340,00"
RETIRADA DE PELE PARA TRANSPLANTE,"1.170,00"
RETIRADA DE PLACA DE CRANIOPLASTIA,"1.191,50"
RETIRADA DE PLACA E/OU PARAFUSOS,"225,16"
RETIRADA DE POLIPO DO TUBO DIGESTIVO POR ENDOSCOPIA,"29,84"
RETIRADA DE PONTOS DE CIRURGIAS (POR PACIENTE),"0,00"
RETIRADA DE PROTESE DE SUBSTITUICAO DE GRANDES ARTICULACOES (OMBRO / COTOVELO / QUADRIL / JOELHO),"759,42"
RETIRADA DE PROTESE DE SUBSTITUICAO EM PEQUENAS E MEDIAS ARTICULACOES,"379,71"
RETIRADA DE PROTESE INFECTADA EM POSICAO AORTO- ABDOMINAL C/ PONTE AXILO FEMURAL/AXILO BIFEMURAL,"1.254,32"
RETIRADA DE PROTESE INFECTADA EM POSICAO NAO AORTICA,"1.254,32"
RETIRADA DE PROTESE MAMARIA BILATERAL EM CASOS DE COMPLICACAO DA PROTESE MAMARIA IMPLANTADA,"580,00"
"RETIRADA DE PROTESE MAMARIA BILATERAL EM CASOS DE COMPLICACAO DE IMPLANTACAO DA PROTESE, COM IM","631,84"
RETIRADA DE PROTESE MAMARIA UNILATERAL EM CASOS DE COMPLICACAO DA PROTESE MAMARIA IMPLANTADA,"290,00"
"RETIRADA DE PROTESE MAMARIA UNILATERAL EM CASOS DE COMPLICACAO DE IMPLANTACAO DA PROTESE, COM I","315,92"
RETIRADA DE PULMOES (PARA TRANSPLANTE),"2.340,00"
RETIRADA DE SISTEMA DE ESTIMULACAO CARDIACA ARTIFICIAL,"489,38"
RETIRADA DE TECIDO OSTEO -FASCIO-CONDRO- LIGAMENTOSO,"1.170,00"
RETIRADA DE TRACAO TRANS-ESQUELETICA,"28,42"
RETIRADA DO DISPOSITIVO INTRA-UTERINO (DIU),"0,00"
RETIRADA PERCUTANEA DE CALCULO URETERAL C/ CATETER,"619,66"
RETIRADA PERCUTANEA DE CALCULOS BILIARES,"97,00"
RETIRADA UNI / BILATERAL DE RIM (PARA TRANSPLANTE) - DOADOR FALECIDO,"1.170,00"
RETOSSIGMOIDECTOMIA ABDOMINAL,"1.453,79"
RETOSSIGMOIDECTOMIA ABDOMINAL EM ONCOLOGIA,"5.434,40"
RETOSSIGMOIDECTOMIA ABDOMINO-PERINEAL,"1.453,79"
RETOSSIGMOIDOSCOPIA,"23,13"
RETRACAO CICATRICIAL DOS DEDOS C/ COMPROMETIMENTO TENDINOSO (POR DEDO),"205,53"
RETRATAMENTO ENDODONTICO EM DENTE PERMANENTE BI-RADICULAR,"5,71"
RETRATAMENTO ENDODONTICO EM DENTE PERMANENTE COM 3 OU MAIS RAIZES,"6,95"
RETRATAMENTO ENDODONTICO EM DENTE PERMANENTE UNI-RADICULAR,"4,41"
REVASCULARIZACAO DE ARTERIAS VISCERAIS,"1.139,80"
REVASCULARIZACAO DO MEMBRO SUPERIOR,"1.230,76"
REVASCULARIZACAO MIOCARDICA C/ USO DE EXTRACORPOREA,"6.756,37"
REVASCULARIZACAO MIOCARDICA C/ USO DE EXTRACORPOREA (C/ 2 OU MAIS ENXERTOS),"6.956,37"
REVASCULARIZACAO MIOCARDICA S/ USO DE EXTRACORPOREA,"8.740,43"
REVASCULARIZACAO MIOCARDICA S/ USO DE EXTRACORPOREA (C/ 2 OU MAIS ENXERTOS),"8.940,43"
REVASCULARIZACAO POR PONTE / TROMBOENDARTERECTOMIA DE OUTRAS ARTERIAS DISTAIS,"1.142,89"
REVASCULARIZACAO POR PONTE / TROMBOENDARTERECTOMIA FEMURO-POPLITEA DISTAL,"1.457,57"
REVASCULARIZACAO POR PONTE / TROMBOENDARTERECTOMIA FEMURO-POPLITEA PROXIMAL,"1.457,57"
REVERSAO DE MAMILO INVERTIDO,"31,28"
REVISAO CIRUGICA DE COTO DE AMPUTACAO DO MEMBRO SUPERIOR (EXCETO MAO),"20,00"
REVISAO CIRURGICA DE COTO DE AMPUTACAO DOS DEDOS,"20,00"
REVISAO CIRURGICA DE COTO DE AMPUTACAO EM MEMBRO INFERIOR (EXCETO DEDOS DO PE),"20,00"
REVISAO CIRURGICA DE LUXACAO COXOFEMORAL CONGENITA,"1.781,03"
REVISAO CIRURGICA DO PE TORTO CONGENITO,"344,52"
REVISAO COM IMOBILIZACAO NAO GESSADA EM LESAO DA COLUNA VERTEBRAL,"11,00"
REVISAO COM TROCA DE APARELHO GESSADO EM LESAO DA COLUNA VERTEBRAL,"27,32"
REVISAO COM TROCA DE APARELHO GESSADO EM MEMBRO INFERIOR,"25,31"
REVISAO COM TROCA DE APARELHO GESSADO EM MEMBRO SUPERIOR,"22,21"
REVISAO DE ARTRODESE / TRATAMENTO CIRURGICO DE PSEUDARTOSE DA COLUNA TORACO-LOMBO-SACRA ANTE,"1.928,11"
REVISAO DE ARTRODESE / TRATAMENTO CIRURGICO DE PSEUDARTROSE DA COLUNA CERVICAL POSTERIOR,"1.614,24"
REVISAO DE ARTRODESE / TRATAMENTO CIRURGICO DE PSEUDARTROSE DA COLUNA TORACO-LOMBO-SACRA POS,"1.612,11"
REVISAO DE ARTRODESE TRATAMENTO CIRURGICO DE PSEUDOARTORSE DA COLUNA CERVICAL ANTERIOR,"1.413,00"
REVISAO DE DERIVACAO VENTRICULAR PARA PERITONEO / ATRIO / PLEURA / RAQUE,"1.390,64"
RIBAVIRINA 250 MG (POR CAPSULA),"0,00"
RILUZOL 50 MG (POR COMPRIMIDO),"0,00"
RINOPLASTIA EM PACIENTE COM ANOMALIA CRANIO E BUCOMAXILOFACIAL,"444,20"
RINOPLASTIA PARA DEFEITOS POS-TRAUMATICOS,"444,20"
RINOSEPTOPLASTIA EM PACIENTE COM ANOMALIA CRANIO E BUCOMAXILOFACIAL,"554,00"
RISEDRONATO 35 MG (POR COMPRIMIDO),"0,00"
RISEDRONATO 5 MG (POR COMPRIMIDO),"0,00"
RISPERIDONA 1 MG (POR COMPRIMIDO),"0,10"
"RISPERIDONA 1,0 MG/ML SOLUCAO ORAL (POR FRASCO DE 30 ML)","21,41"
RISPERIDONA 2 MG (POR COMPRIMIDO),"0,11"
RISPERIDONA 3 MG (POR COMPRIMIDO),"0,17"
RITUXIMABE 500 MG INJETAVEL (POR FRASCO- AMPOLA DE 5O ML ) (BIOSSIMILAR A),"0,00"
RITUXIMABE 500 MG INJETAVEL (POR FRASCO-AMPOLA DE 50 ML) (ORIGINADOR),"0,00"
"RIVASTIGMINA 1,5 MG (POR CAPSULA)","0,00"
RIVASTIGMINA 18 MG ADESIVO TRANSDERMICO,"0,00"
"RIVASTIGMINA 2,0 MG/ML SOLUCAO ORAL (POR FRASCO DE 120 ML)","73,48"
RIVASTIGMINA 3 MG (POR CAPSULA),"0,00"
"RIVASTIGMINA 4,5 MG (POR CAPSULA)","0,00"
RIVASTIGMINA 6 MG (POR CAPSULA),"0,00"
RIVASTIGMINA 9 MG ADESIVO TRANSDERMICO,"0,00"
RIZOTOMIA / NEUROTOMIA PERCUTANEA POR RADIOFREQUENCIA,"1.328,41"
RIZOTOMIA PERCUTANEA COM BALAO,"1.423,23"
SACARATO DE HIDROXIDO FERRICO 100 MG INJETAVEL (POR FRASCO DE 5 ML),"5,04"
SACRALECTOMIA (ENDOPELVECTOMIA) EM ONCOLOGIA,"5.342,18"
SALMETEROL 50 MCG PO INALANTE OU AEROSSOL BUCAL (POR FRASCO DE 60 DOSES),"0,00"
SALPINGECTOMIA UNI / BILATERAL,"465,59"
SALPINGECTOMIA VIDEOLAPAROSCOPICA,"376,84"
SALPINGOPLASTIA,"334,32"
SALPINGOPLASTIA VIDEOLAPAROSCOPICA,"337,17"
SAMU 192: ATENDIMENTO DAS CHAMADAS RECEBIDAS PELA CENTRAL DE REGULACAO DAS URGENCIAS COM ORIE,"N 0,00"
SAMU 192: ATENDIMENTO PRE-HOSPITALAR MOVEL REALIZADO PELA EQUIPE DA UNIDADE DE SUPORTE AVANCADO,"0,00"
SAMU 192: ATENDIMENTO PRE-HOSPITALAR MOVEL REALIZADO PELA EQUIPE DE SUPORTE BASICO DE VIDA TERRE,"S 0,00"
SAMU 192: ATENDIMENTO PRE-HOSPITALAR MOVEL REALIZADO POR EMBARCACAO,"0,00"
SAMU 192: ENVIO DE UNIDADE DE SUPORTE AVANCADO DE VIDA TERRESTRE (USA) E/OU AQUATICO (EQUIPE DE EM,"0,00"
SAMU 192: ENVIO DE UNIDADE DE SUPORTE BASICO DE VIDA TERRESTRE (USB) E/OU AQUATICO (EQUIPE DE EMBAR,"0,00"
SAMU 192: TRANSPORTE INTER-HOSPITALAR PELA UNIDADE DE SUPORET BASICO DE VIDA TERRESTRE (USB),"0,00"
SAMU 192: TRANSPORTE INTER-HOSPITALAR PELA UNIDADE DE SUPORTE AVANCADO DE VIDA TERRESTRE (USA),"0,00"
SAMU 192:ATENDIMENTO DAS CHAMADAS RECEBIDAS PELA CENTRAL DE REGULACAO DAS URGENCIAS,"0,00"
SAMU 192:ATENDIMENTO PRE-HOSPITALAR MOVEL REALIZADO POR AEROMEDICO,"0,00"
SANGRIA TERAPEUTICA,"4,69"
SAPROPTERINA 100 MG (POR COMPRIMIDO),"108,62"
SECUQUINUMABE 150 MG/ML SOLUCAO INJETAVEL (POR SERINGA PREENCHIDA),"0,00"
SEDACAO,"15,15"
SEGMENTECTOMIA PULMONAR EM ONCOLOGIA,"2.954,54"
SEGMENTECTOMIA/QUADRANTECTOMIA/SETORECTOMIA DE MAMA EM ONCOLOGIA,"1.913,83"
SELAMENTO DE PERFURACAO RADICULAR,"2,56"
SELAMENTO PROVISORIO DE CAVIDADE DENTARIA,"0,00"
SELECAO E VERIFICACAO DE BENEFICIO DO AASI,"8,75"
SELEGILINA 10 MG (POR DRAGEA OU COMPRIMIDO),"1,21"
SELEGILINA 5 MG (POR COMPRIMIDO),"0,57"
SEPARACAO E AVALIACAO BIOMICROSCOPICA DA CORNEA,"367,20"
SEPTOPLASTIA EM PACIENTE COM ANOMALIA CRANIO E BUCOMAXILOFACIAL,"374,67"
SEPTOPLASTIA PARA CORRECAO DE DESVIO,"247,46"
SEPTOPLASTIA REPARADORA NAO ESTETICA,"213,75"
SEQUENCIAMENTO P/ IDENTIFICACAO DO VIRUS DA MENINGITE VIRAL,"0,00"
SEQUENCIAMENTO P/ IDENTIFICACAO DO VIRUS DA POLIOMIELITE,"0,00"
SEQUENCIAMENTO P/ IDENTIFICACAO DO VIRUS DO SARAMPO,"0,00"
SESSAO DE ACUPUNTURA APLICACAO DE VENTOSAS / MOXA,"3,67"
SESSAO DE ACUPUNTURA COM INSERCAO DE AGULHAS,"4,13"
SESSAO DE ANTROPOSOFIA APLICADA A SAUDE,"0,00"
SESSAO DE APITERAPIA,"0,00"
SESSAO DE AROMATERAPIA,"0,00"
SESSAO DE ARTETERAPIA,"0,00"
SESSAO DE AURICULOTERAPIA,"0,00"
SESSAO DE BIODANCA,"0,00"
SESSAO DE BIOENERGETICA,"0,00"
SESSAO DE CONSTELACAO FAMILIAR,"0,00"
SESSAO DE CROMOTERAPIA,"0,00"
SESSAO DE DANCA CIRCULAR,"0,00"
SESSAO DE ELETROESTIMULACAO,"0,77"
SESSAO DE GEOTERAPIA,"0,00"
SESSAO DE HIPNOTERAPIA,"0,00"
SESSAO DE IMPOSICAO DE MAOS,"0,00"
SESSAO DE MASSOTERAPIA,"0,00"
SESSAO DE MEDITACAO,"0,00"
SESSAO DE MUSICOTERAPIA,"0,00"
SESSAO DE OZONIOTERAPIA APLICADA A ODONTOLOGIA,"0,00"
SESSAO DE TERAPIA DE FLORAIS,"0,00"
SESSAO DE TERMALISMO,"0,00"
SETORECTOMIA / QUADRANTECTOMIA,"313,44"
SETORECTOMIA / QUADRANTECTOMIA C/ ESVAZIAMENTO GANGLIONAR,"358,20"
SEVELAMER 800 MG (POR COMPRIMIDO),"0,00"
SHUNT LOMBO-PERITONAL,"567,70"
SIALOGRAFIA (POR GLANDULA),"48,85"
SILDENAFILA 20 MG (POR COMPRIMIDO),"0,00"
SILDENAFILA 25 MG (POR COMPRIMIDO),"0,00"
SILDENAFILA 50 MG (POR COMPRIMIDO),"0,00"
SIMBLEFAROPLASTIA,"203,74"
SIMPATECTOMIA LOMBAR A CEU ABERTO,"782,17"
SIMPATECTOMIA LOMBAR VIDEOCIRURGICA,"942,49"
SIMPATECTOMIA TORACICA A CEU ABERTO,"800,70"
SIMPATECTOMIA TORACICA VIDEOCIRURGICA,"1.024,54"
SINDACTILIA CIRURGICA DOS DEDOS DO PE (PROCEDIMENTO TIPO KELIKIAN),"284,06"
SINEQUIOLISE A YAG LASER,"45,00"
SINFISIOTOMIA DO RIM EM FERRADURA (NEFROPLASTIA),"658,90"
SINUSOTOMIA BILATERAL,"349,24"
SINUSOTOMIA ESFENOIDAL,"378,98"
SINUSOTOMIA TRANSMAXILAR,"25,09"
SIROLIMO 1 MG (POR DRAGEA),"0,00"
SIROLIMO 1MG P/ TRANSPLANTE (POR DRAGEA),"11,84"
SIROLIMO 1MG/ML SOLUCAO ORAL P/ TRANSPLANTE (POR FRASCO DE 60ML),"11,84"
SIROLIMO 2 MG (POR DRAGEA),"0,00"
SIROLIMO 2 MG P/ TRANSPLANTE (POR DRAGEA),"23,68"
SISTEMA DE COLOCACAO DE COILS,"1.250,00"
SISTEMA DE ELETRODOS P/ ESTIMULACAO MULTI-SITIO,"5.980,12"
SISTEMA DE FIXACAO OCCIPITO-CERVICAL ASSOCIADO A PARAFUSO GANCHO E FIO,"1.459,63"
SISTEMA DE FREQUENCIA MODULADA PESSOAL,"4.500,00"
SISTEMA DE GUIAS E INJECAO DE MATERIAL PROPRIO A VERTEBROPLASTIA,"445,00"
SISTEMA DE PROTECAO DISTAL PARA CAROTIDA E/OU CORONARIA,"2.815,20"
SISTEMA PARA FIXACAO TRANSVERSAL DE TITANIO,"781,26"
SISTEMAS TELESCOPICOS BINOCULARES MONTADOS EM ARMACAO COM FOCO AJUSTAVEL,"359,00"
SISTEMAS TELESCOPICOS MANUAL MONOCULAR COM FOCO AJUSTAVEL,"200,00"
SOFOSBUVIR 400 MG (POR COMPRIMIDO REVESTIDO),"0,00"
SOFOSBUVIR 400MG + VELPATASVIR 100 MG (POR COMPRIMIDO),"0,00"
SOMATROPINA 12 UI INJETAVEL (POR FRASCO-AMPOLA),"0,00"
SOMATROPINA 16UI INJETAVEL (POR FRASCO AMPOLA),"0,00"
SOMATROPINA 4 UI INJETAVEL (POR FRASCO-AMPOLA),"0,00"
SONDAGEM DE CANAL LACRIMAL SOB ANESTESIA GERAL,"203,73"
SONDAGEM DE VIAS LACRIMAIS,"22,93"
SONDAGEM GASTRICA,"0,00"
SOROLOGIA DE DOADOR DE SANGUE,"75,00"
SOROLOGIA DE POSSIVEL DOADOR DE CORNEA E ESCLERA,"60,00"
SOROLOGIA DE POSSIVEL DOADOR DE ORGAO OU TECIDO EXCETO CORNEA,"186,00"
SOROLOGIA EM PACIENTE TRANSPLANTADO,"20,00"
SOROLOGIA P/ IDENTIFICACAO DO VIBRIO CHOLERAE,"0,00"
STENT ESOFAGICO,"4.000,00"
STENT FARMACOLOGICO PARA ARTERIA CORONARIA,"2.034,50"
STENT FARMACOLOGICO PARA ARTERIA PERIFERICA,"2.113,36"
STENT PARA ARTERIA CORONARIA,"2.034,50"
STENT PARA ARTERIA PERIFERICA,"2.034,50"
SUBSTITUICAO DE ESPUMA E MEIA COSMETICA EM PROTESE ENDOESQUELETICA TRANSFEMURAL,"250,20"
SUBSTITUICAO DE ESPUMA E MEIA COSMETICA EM PROTESE TRANSTIBIAL ENDOESQUELETICA.,"264,10"
SUBSTITUICAO DE ESPUMA E MEIA EM PROTESE ENDOESQUELETICA TRANSUMERAL,"250,20"
SUBSTITUICAO DE LENTE INTRA-OCULAR,"544,88"
SUBSTITUICAO DE LUVA COSMETICA P/ MAOS PROTETICAS,"347,50"
SUBSTITUICAO DE PE DE ADAPTACAO DINAMICA.,"266,00"
SUBSTITUICAO DE PE SACH / ARTICULADO.,"269,50"
SUBSTITUICAO DO ENCAIXE INTERNO FLEXIVEL PARA PROTESE TRANSTIBIAL EXOESQUELETICA / ENDOESQUELETI,"C 650,00"
SUBSTITUICAO/TROCA DA ANTENA DA PROTESE DE IMPLANTE COCLEAR,"0,00"
SUBSTITUICAO/TROCA DAS BATERIAS RECARREGAVEIS DA PROTESE DE IMPLANTE COCLEAR,"0,00"
SUBSTITUICAO/TROCA DO CABO DE CONEXAO DA PROTESE DE IMPLANTE COCLEAR,"0,00"
SUBSTITUICAO/TROCA DO CARREGADOR DE BATERIA RECARREGAVEL DA PROTESE DE IMPLANTE COCLEAR,"0,00"
SUBSTITUICAO/TROCA DO COMPARTIMENTO/GAVETA DE BATERIAS DA PROTESE DE IMPLANTE COCLEAR,"0,00"
SUBSTITUICAO/TROCA DO CONTROLE REMOTO DA PROTESE DE IMPLANTE COCLEAR,"0,00"
SUBSTITUICAO/TROCA DO DESUMIDIFICADOR DA PROTESE DE IMPLANTE COCLEAR,"0,00"
SUBSTITUICAO/TROCA DO ENCAIXE PARA PROTESE TRANSFEMURAL ENDOESQUELETICA / EXOESQUELETICA.,"1.098,00"
SUBSTITUICAO/TROCA DO GANCHO COM MICROFONE DA PROTESE DE IMPLANTE COCLEAR,"0,00"
SUBSTITUICAO/TROCA DO GANCHO DA PROTESE DE IMPLANTE COCLEAR,"0,00"
SUBSTITUICAO/TROCA DO IMA DA ANTENA DA PROTESE DE IMPLANTE COCLEAR,"0,00"
SUBSTITUTO BIOLOGICO DE PELE - MATRIZES DE REGENERACAO DERMICA (POR CM2),"49,56"
SUBSTITUTO TEMPORARIO DE PELE BIOLOGICO / SINTETICO (POR CM2),"0,03"
SULFASSALAZINA 500 MG (POR COMPRIMIDO),"0,00"
SUPRARRENALECTOMIA BILATERAL,"804,78"
SUPRARRENALECTOMIA EM ONCOLOGIA,"2.711,10"
SUPRARRENALECTOMIA UNILATERAL,"719,47"
SURFACTANTE FRASCO-AMPOLA,"519,74"
SUTURA DE CONJUNTIVA,"82,28"
SUTURA DE CORNEA,"164,08"
SUTURA DE ESCLERA,"161,19"
SUTURA DE LACERACOES DE TRAJETO PELVICO,"19,79"
SUTURA DE PALPEBRAS,"143,99"
TABUA (PRANCHA) PARA TRANSFERENCIA,"75,00"
"TACROLIMO 0,5 MG P/TRANSPLANTE (FRASCO-AMPOLA)","206,81"
TACROLIMO 1 MG (POR CAPSULA),"0,00"
TACROLIMO 1 MG P/ TRANSPLANTE (POR CAPSULA),"3,61"
TACROLIMO 5 MG P/ TRANSPLANTE (POR CAPSULA),"17,95"
TAFAMIDIS 20 MG CAPSULA,"0,00"
TALECTOMIA,"268,41"
TAMPONAMENTO DE LESOES HEMORRAGICAS DO APARELHO DIGESTIVO,"0,00"
TAMPONAMENTO NASAL ANTERIOR E/OU POSTERIOR,"17,00"
TELA DE RECONSTRUCAO ACETABULAR,"396,88"
TELA DE RECONSTRUCAO FEMORAL,"334,22"
TELA INORGANICA DE POLIPROPILENO C/ SISTEMA DUPLO,"260,00"
TELA INORGANICA DE POLIPROPILENO GRANDE (ACIMA DE 401 CM2),"150,00"
TELA INORGANICA DE POLIPROPILENO MEDIA (101 A 400 CM2),"125,00"
TELA INORGANICA DE POLIPROPILENO PEQUENA (ATE 100 CM2),"102,00"
TELECONSULTA NA ATENCAO PRIMARIA,"0,00"
TELERADIOGRAFIA COM TRACADOS E SEM TRACADOS,"6,44"
TENECTEPLASE - TNK 40 MG INJETAVEL (POR FRASCO AMPOLA),"1.810,00"
TENECTEPLASE 50 MG INJETAVEL (POR FRASCO AMPOLA) DE USO NAS URGENCIAS PRE-HOSPITALARES,"2.262,50"
TENECTEPLASE- TNK 30 MG INJETAVEL ( POR FRASCO AMPOLA),"1.357,50"
TENECTEPLASE-TNK 50 MG INJETAVEL ( POR FRASCO AMPOLA),"2.262,50"
TENODESE,"204,09"
TENOFOVIR 300 MG (POR COMPRIMIDO),"0,00"
TENOLISE,"229,40"
TENOMIORRAFIA,"28,42"
TENOMIOTOMIA / DESINSERCAO,"208,94"
TENOPLASTIA OU ENXERTO DE TENDAO UNICO,"680,20"
TENORRAFIA UNICA EM TUNEL OSTEO-FIBROSO,"421,30"
TENOSINOVECTOMIA EM MEMBRO INFERIOR,"243,81"
TENOSINOVECTOMIA EM MEMBRO SUPERIOR,"28,42"
TERAPIA COMUNITARIA,"0,00"
TERAPIA DE REIDRATACAO ORAL,"0,00"
TERAPIA DE REIDRATACAO PARENTERAL,"0,00"
TERAPIA EM GRUPO,"6,15"
TERAPIA FONOAUDIOLOGICA INDIVIDUAL,"10,90"
TERAPIA HORMONAL NO PROCESSO TRANSEXUALIZADOR,"50,00"
TERAPIA INDIVIDUAL,"2,81"
TERIFLUNOMIDA 14 MG (POR COMPRIMIDO),"0,00"
TERMOTERAPIA TRANSPUPILAR,"743,00"
TESTE DA CAMINHADA DE 6 MINUTOS,"2,78"
TESTE DE AGREGACAO DE PLAQUETAS,"12,00"
TESTE DE CLEMENTS,"1,89"
TESTE DE ELISA IGG P/ IDENTIFICACAO DE PARVOVIRUS (PARVOVIROSE),"0,00"
TESTE DE ELISA IGG P/ IDENTIFICACAO DO TOXOPLASMA GONDII (TOXOPLASMOSE),"0,00"
TESTE DE ELISA IGG P/ IDENTIFICACAO DO VIRUS DO SARAMPO,"0,00"
TESTE DE ELISA IGM P/ IDENTIFICACAO DO PARVOVIRUS (PARVOVIROSE),"0,00"
TESTE DE ELISA IGM P/ IDENTIFICACAO DO VIRUS DO SARAMPO,"0,00"
TESTE DE ELISA P/ IDENTIFICACAO DO VIRUS DA FEBRE AMARELA (ENSAIO IMUNOENZIMATICO),"0,00"
TESTE DE ESFORCO / TESTE ERGOMETRICO,"30,00"
TESTE DE ESTIMULO COM GNRH OU COM AGONISTA GNRH,"12,01"
TESTE DE ESTIMULO DA PROLACTINA / TSH APOS TRH,"12,01"
TESTE DE ESTIMULO DA PROLACTINA APOS CLORPROMAZINA,"12,01"
TESTE DE ESTIMULO DO HGH APOS GLUCAGON,"12,01"
TESTE DE GASTROACIDOGRAMA - SECRECAO BASAL POR 60 EM 4 AMOSTRAS,"4,69"
TESTE DE HAM (HEMOLISE ACIDA),"2,73"
TESTE DE HEMAGLUTINACAO INDIRETA P/ IDENTIFICACAO DO VIRUS DA INFLUENZA,"0,00"
TESTE DE HEMAGLUTINACAO P/ IDENTIFICACAO DA PASTEURELLA PESTIS (PESTE BUBONICA),"0,00"
